name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius,log_mass,mass_source
CoRoT-23 b,2.8,1.08,3.6314,0.0477,0.16,1152.2,Primary Transit,CoRoT-23,0.05,1.14,1.61,5900.0,121504.68989448424,0.0825323399109066,5.325633655490069e+17,0.7080745341614906,0.2974059591342182,-1.321481620959886,23.89937106918239,0.275375888087239,0.2731663647858842,0.6708074534161491,0.0769610411361284,0.4471580313422192,Observed
CoRoT-24 b,0.018,0.33,5.1134,0.056,0.0,1070.0,Primary Transit,CoRoT-24,0.3,0.91,0.86,4950.0,148886.54541727406,0.0688110410298542,1.9144531449298467e+17,1.058139534883721,0.0645363163452888,-1.2518119729937995,16.25,0.1955645949857237,1.4306916372143337,0.3837209302325581,-1.1086626245216111,-1.744727494896694,Observed
CoRoT-24 c,0.088,0.44,11.759,0.098,0.0,850.0,Primary Transit,CoRoT-24,0.3,0.91,0.86,4950.0,146913.78698501474,0.0523643303090058,6.251275575281132e+16,1.058139534883721,0.0374181478016838,-1.0087739243075051,9.285714285714286,0.0850412450038268,1.4306916372143337,0.5116279069767442,-0.8209805520698302,-1.0555173278498313,Observed
CoRoT-25 b,0.27,1.08,4.86069,0.0578,0.0853999999999999,752.6,Primary Transit,CoRoT-25,-0.01,1.09,1.19,6040.0,122352.35493319566,0.0747153409814203,3.9837500106560026e+17,0.915966386554622,0.22219067663233,-1.238072161579471,18.858131487889278,0.2057321079928981,0.6468232374511842,0.907563025210084,0.0769610411361284,-0.5686362358410126,Observed
CoRoT-26 b,0.52,1.26,4.20474,0.0526,0.0,1521.8000000000002,Primary Transit,CoRoT-26,0.01,1.09,1.79,5590.0,121484.55306771364,0.0786007094749369,3.529195714879498e+17,0.6089385474860336,0.299661810242726,-1.279014255846261,20.722433460076047,0.237826833525973,0.190049794789811,0.7039106145251397,0.2311117209633866,-0.28399665636520083,Observed
CoRoT-27 b,10.39,1.007,3.57532,0.0476,0.065,1500.0,Primary Transit,CoRoT-27,0.1,1.05,1.08,5900.0,118524.7310342822,0.0836511474837911,5.348033772332461e+17,0.9722222222222222,0.2816531107705044,-1.322393047279507,22.058823529411764,0.2796952440620699,0.833523853071178,0.9324074074074072,0.0069756137364251,1.0166155475571774,Observed
CoRoT-29 b,0.85,0.9,2.85057,0.039,0.0819999999999999,789.6,Primary Transit,CoRoT-29,0.2,0.976,0.9,5260.0,136983.92294037322,0.0859632378717252,5.0328474014464166e+17,1.0844444444444443,0.3157263284185268,-1.408935392973501,25.025641025641026,0.3508070315761409,1.3388203017832645,1.0,-0.1053605156578262,-0.07058107428570728,Observed
CoRoT-2 Ab,3.31,1.465,1.7429964,0.0281,0.0,1323.1999999999998,Primary Transit,CoRoT-2 A,-0.04,0.972,0.938,5529.0,136922.2479088154,0.1012953940305019,1.183514872867974e+18,1.0362473347547976,0.840506612635574,-1.5512936800949202,34.59074733096085,0.5737246502631904,1.1777625746777811,1.5618336886993605,0.3818552424690307,0.5198279937757188,Observed
CoRoT-30 b,2.9,1.009,9.06005,0.0844,0.007,758.22,Primary Transit,CoRoT-30,0.0199999999999999,0.98,0.91,5660.0,136531.81040919528,0.0585317785140211,1.44072413490263e+17,1.0769230769230769,0.1113680388077328,-1.0736575533743449,11.611374407582938,0.1103746668064745,1.3004746732557382,1.1087912087912086,0.0089597413714718,0.4623979978989561,Observed
CoRoT-31 b,0.84,1.46,4.62941,0.0586,0.02,1671.7999999999995,Primary Transit,CoRoT-31,0.0,1.25,2.15,5370.0,106502.16659533206,0.07953381942855,2.421597227719601e+17,0.5813953488372093,0.3153749613881682,-1.2321023839819094,21.331058020477816,0.2160102475261426,0.1257750889858754,0.6790697674418604,0.378436435720245,-0.07572071393811836,Observed
CoRoT-32 b,0.15,0.57,6.71837,0.071,0.0843999999999999,938.0,Primary Transit,CoRoT-32,0.0,1.09,0.79,5970.0,126110.94785267848,0.0664009509463978,2.519884453104543e+17,1.379746835443038,0.0848420078084416,-1.1487416512809248,15.35211267605634,0.1488456277341081,2.2107784576879315,0.7215189873417721,-0.5621189181535413,-0.8239087409443188,Observed
CoRoT-35 b,1.1,1.68,3.22748,0.0429,0.0,1747.0,Primary Transit,CoRoT-35,-0.5,1.01,1.65,6390.0,131933.5483330593,0.0835167529087722,9.059179152525796e+17,0.6121212121212122,0.5205299490624264,-1.3675427078152758,23.543123543123546,0.3098392553943014,0.224837910788324,1.0181818181818183,0.5187937934151675,0.04139268515822508,Observed
CoRoT-36 b,0.68,1.41,5.616531,0.066,0.0,1567.0,Primary Transit,CoRoT-36,-0.1,1.32,1.52,6730.0,109724.72825347482,0.0738338718817456,4.7094738071854906e+17,0.868421052631579,0.2510446394758615,-1.1804560644581312,20.0,0.1780458435999017,0.3758747630849978,0.9276315789473684,0.3435897043900768,-0.16749108729376366,Observed
CoRoT-4 b,0.72,1.19,9.20166201,0.09,0.0,1442.6,Primary Transit,CoRoT-4,0.05,1.1,1.15,6190.0,116146.20541327469,0.0614548412049491,1.8124981718641978e+17,0.9565217391304348,0.129324463200969,-1.0457574905606752,12.222222222222223,0.1086760194966126,0.7232678556751871,1.0347826086956522,0.1739533071234379,-0.14266750356873156,Observed
