,name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius
20,2MASS J0558-4501 b,9.0,0.41225946736393176,11.631249140000001,1043.0,0.1289777510537905,934.2961255873558,Imaging,2MASS J0558-4501,0.0017237682768832118,0.9291203064568994,0.96,5533.0,139466.00274725264,0.051629068300008164,9.032184334005978e+16,0.9865269461077845,0.02426213298663954,3.018284308426531,8.830474890037763,0.08597529151365278,1.0963722511574077,0.2542857142857143,-0.8861023527025891
21,2MASS J1155-7919 b,10.0,0.41225946736393176,11.631249140000001,582.0,0.1289777510537905,934.2961255873558,Astrometry,2MASS J1155-7919,0.0017237682768832118,0.9291203064568994,0.96,5533.0,139466.00274725264,0.051629068300008164,9.032184334005978e+16,0.9865269461077845,0.02426213298663954,2.7649229846498886,8.830474890037763,0.08597529151365278,1.0963722511574077,0.2542857142857143,-0.8861023527025891
22,2MASS J1252+2735 b,,1.2015,35.08,0.20434500760302157,0.0,1568.8000000000002,Radial Velocity,2MASS J1252+2735,-0.324,0.88,1.076,5181.0,144220.52556818177,0.03660027221684167,1.7255450630164104e+16,0.8178438661710037,0.02426213298663954,-0.6896359681649863,4.306442375678513,0.028506271379703536,0.7063921399053043,0.2542857142857143,0.18357077619438655
23,2MASS J1253+2734 b,,0.18996400000000005,24.31,0.1489725231419227,0.681,772.6,Radial Velocity,2MASS J1253+2734,-0.256,0.71,0.633,4535.0,178752.2007042253,0.038503577481645394,1.905885555819384e+16,1.121642969984202,0.02426213298663954,-0.8268938265424621,4.765979558012852,0.04113533525298231,2.7992856554190464,0.2542857142857143,-1.6609206984582674
24,2MASS J1258+2630 b,,0.12019999999999997,11.88,0.08688456567820654,0.5980000000000001,726.8,Radial Velocity,2MASS J1258+2630,-0.16379999999999997,0.5898,0.602,3825.0,215181.5233977619,0.045952173946968614,2.835570757754162e+16,0.979734219269103,0.02426213298663954,-1.0610573655090014,6.788317296589087,0.08417508417508417,2.703431030753256,0.2542857142857143,-2.11859825688103
25,2MASS J2236+4751 b,12.5,0.5038,1644774.4591774582,230.0,0.1038,908.8,Imaging,2MASS J2236+4751,-0.05920000000000003,0.6,0.96,5533.0,222345.9375,0.0008786205382676037,9.032184334005978e+16,0.9865269461077845,0.02426213298663954,2.361727836017593,0.002608695652173913,6.079860946406561e-07,1.0963722511574077,0.2542857142857143,-0.6855759150636271
26,38 Vir b,,0.23326000000000002,825.9,1.82,0.029999999999999985,1163.6,Primary Transit,38 Vir,0.07,1.18,1.45,6557.0,113146.40723966286,0.013845982878153347,558056227229199.6,0.8137931034482758,0.02426213298663954,0.2600713879850748,0.6483516483516483,0.001210800339024095,0.3870597400467424,0.2542857142857143,-1.455601567719233
27,41 Com Ab,,0.3342,610.2,1.6,0.28,855.6,Radial Velocity,41 Com,0.13,1.49,25.11,4181.0,90904.30664062499,0.01647508438460724,119366017632469.12,0.0593389088012744,0.02426213298663954,0.2041199826559248,0.9312499999999999,0.0016388069485414618,9.411224431898198e-05,0.2542857142857143,-1.0960156628208437
28,41 Her Ab,9.5,0.637358,5858.25,6.4,0.10000000000000002,938.6,"Radial Velocity, Astrometry",41 Her A,-0.27,1.09,2.82,5100.0,130916.95046424863,0.006864231804028396,16516604003906.246,0.3865248226950355,0.02426213298663954,0.8061799739838872,0.1703125,0.00017069944095933086,0.04860480140524062,0.2542857142857143,-0.4504237718589689
29,44 Uma b,,0.14140000000000003,785.74,2.16,0.11,784.8,Radial Velocity,44 Uma,-0.21,2.19,45.12,4215.0,61262.7477153508,0.017272482326861186,67652338552517.35,0.048537234042553196,0.02426213298663954,0.3344537511509309,1.0138888888888888,0.0012726856211978516,2.3841679301685456e-05,0.2542857142857143,-1.9561625255196644
30,47 UMa b,,0.23399999999999996,1078.0,2.1,0.032,1201.8,Radial Velocity,47 UMa,0.0,1.03,1.24,5892.0,125481.48148148147,0.012239971377622571,273282840580702.03,0.8306451612903226,0.02426213298663954,0.3222192947339193,0.49047619047619045,0.0009276437847866419,0.5402218790910007,0.2542857142857143,-1.4524341636244358
31,47 UMa c,,0.2626,2391.0,3.6,0.098,1049.8,Radial Velocity,47 UMa,0.0,1.03,1.24,5892.0,122532.60030864197,0.009460253912942916,92992077697600.0,0.8306451612903226,0.02426213298663954,0.5563025007672873,0.2861111111111111,0.0004182350480970305,0.5402218790910007,0.2542857142857143,-1.3371233171134413
32,47 UMa d,,0.2572,14002.0,11.6,0.16,997.8,Radial Velocity,47 UMa,0.0,1.03,1.24,5892.0,125604.78340645373,0.005205324208204771,8956430788948.395,0.8306451612903226,0.02426213298663954,1.0644579892269184,0.08879310344827587,7.141836880445651e-05,0.5402218790910007,0.2542857142857143,-1.3579012866186728
33,51 Eri Ab,4.1,1.11,10260.0,11.1,0.49,700.0,Imaging,51 Eri A,-0.027000000000000003,1.75,0.96,5533.0,76970.76185023593,0.006797598139346336,9.032184334005978e+16,0.9865269461077845,0.00010818713450292399,1.0453229787866574,0.15765765765765766,9.746588693957115e-05,1.0963722511574077,0.2542857142857143,0.10436001532424286
34,51 Peg b,0.61,1.2,4.2307966,0.052,0.006900000000000003,1363.4,Radial Velocity,51 Peg,0.18,1.03,1.176,5758.0,127301.71733167073,0.07722555983271295,4.065181634726687e+17,0.8758503401360545,0.283634528778812,-1.2839966563652008,19.80769230769231,0.2363621073156767,0.6333084161518743,1.0204081632653061,0.1823215567939546
35,51 Peg c,10.0,0.2242,80997.98189570641,37.0,0.08460000000000001,754.8,"Imaging, Astrometry",51 Peg,0.18,1.03,1.176,5758.0,129521.90533980582,0.002870168502037308,802940185558.8722,0.8758503401360545,0.02426213298663954,1.568201724066995,0.027837837837837838,1.2345986610970225e-05,0.6333084161518743,0.2542857142857143,-1.4952167683440776
36,54 Psc b,0.23,0.18839999999999998,62.25,0.295,0.645,898.2,Radial Velocity,54 Psc,0.05,0.79,0.947,5173.0,150942.89094795476,0.0297757376002888,8228598679517852.0,0.8342133051742345,0.02426213298663954,-0.530177984021837,2.6779661016949157,0.01606425702811245,0.9302017544139662,0.2542857142857143,-1.6691879168398744
37,55 Cnc Ab,0.84,0.18735999999999997,14.65314,0.11339,0.0022999999999999965,1022.4,Radial Velocity,55 Cnc A,0.35,0.9,0.963,5250.0,147277.74707855264,0.04862100423397943,5.908642351292618e+16,0.9345794392523366,0.02426213298663954,-0.9454252447051771,7.937207866654908,0.06824475846132637,1.007775156655373,0.2542857142857143,-1.67472337913273
38,55 Cnc Ac,,0.18735999999999997,44.373,0.23735,0.072,825.8,Radial Velocity,55 Cnc A,0.35,0.9,0.963,5250.0,147254.94078500426,0.03360859154573896,1.3485241907021514e+16,0.9345794392523366,0.02426213298663954,-0.6246107639456211,3.7918685485569834,0.022536226984878192,1.007775156655373,0.2542857142857143,-1.67472337913273
39,55 Cnc Ad,,0.18403199999999995,5574.2,5.446,0.026900000000000007,1018.6,Radial Velocity,55 Cnc A,0.35,0.9,0.963,5250.0,192367.71348307698,0.006138679484571781,25614267434790.94,0.9345794392523366,0.02426213298663954,0.7360776370039458,0.1652589056188028,0.00017939794051164294,1.007775156655373,0.2542857142857143,-1.6926456234507936
