name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff
Kepler-1078 b,,0.17,3.00725242,0.04061183607639546,0.10540000000000001,927.0,Primary Transit,Kepler-1078,-0.01,0.94,0.92,5612.0
Kepler-1079 Ab,,0.1579,13.24503482,0.1092,0.0,887.0,Primary Transit,Kepler-1079 A,0.21,1.08,1.36,5758.0
Kepler-107 b,0.01104,0.137,3.1800218,0.04544,0.0,1593.0,Primary Transit,Kepler-107,0.321,1.24,1.45,5854.0
Kepler-107 c,0.02954,0.142,4.901452,0.06064,0.0,1379.0,Primary Transit,Kepler-107,0.321,1.24,1.45,5854.0
Kepler-107 d,0.01196,0.077,7.95839,0.08377,0.0,1173.0,Primary Transit,Kepler-107,0.321,1.24,1.45,5854.0
Kepler-107 e,0.02706,0.259,14.749143,0.12639,0.0,955.0,Primary Transit,Kepler-107,0.321,1.24,1.45,5854.0
Kepler-1080 b,,0.293,77.2548396,0.3726016523357434,0.29999999999999993,905.2,Primary Transit,Kepler-1080,0.09,1.1,1.16,5956.0
Kepler-1081 b,,0.09,3.85691855,0.046897672239157036,0.006000000000000005,1084.0,Primary Transit,Kepler-1081,0.01,0.88,0.84,5345.0
Kepler-1082 b,,0.1,1.5432066,0.02683645877227876,0.04,908.1999999999999,Primary Transit,Kepler-1082,-0.06,1.03,1.14,5923.0
Kepler-1083 b,,0.3,33.4177993,0.19244663508561016,0.036,941.0,Primary Transit,Kepler-1083,-0.02,0.81,0.77,5049.0
Kepler-1084 Ab,,0.099,2.05333679,0.033384346904459274,0.08600000000000001,985.4,Primary Transit,Kepler-1084 A,-0.02,1.12,1.28,6113.0
Kepler-1085 b,,0.644,219.3217528,0.749305435430014,0.08600000000000001,1029.6,Primary Transit,Kepler-1085,0.08,1.11,1.14,6000.0
Kepler-1085 c,,0.292,56.7771,0.3043592802926344,0.08600000000000001,1029.6,Primary Transit,Kepler-1085,0.08,1.11,1.14,6000.0
Kepler-1086 Bb,,0.1909,18.78429232,0.1198,0.0,433.0,Primary Transit,Kepler-1086 B,0.3096,0.7,0.615,4484.48
Kepler-1086 Bc,,0.2569,161.515617,0.503,0.0,211.0,Primary Transit,Kepler-1086 B,0.3096,0.7,0.615,4484.48
Kepler-1087 Ab,,0.074,0.693842661,0.0148,0.0,2161.0,Primary Transit,Kepler-1087 A,0.377,0.9,1.073,5267.04
Kepler-1088 b,,0.127,23.12748644,0.16572586449184606,0.10776,1070.6,Primary Transit,Kepler-1088,0.05,1.08,1.08,5975.0
