name,mass,radius,orbital_period,semi_major_axis,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius
TOI-396 Ab,0.01117,0.178,3.585287,0.0489,Primary Transit,HR 858 A,-0.14,1.145,1.31,6201.0,109931.2776360479,0.08569683864111345,6.18342656088257e+17,0.8740458015267175,0.04964735040737324,-1.3106911408763797,23.415132924335378,0.2789176989178272,0.509321019478304,0.13587786259541984,-1.725971728690052
TOI-396 Ac,0.0028,0.1766,5.973865,0.0687,Primary Transit,HR 858 A,-0.14,1.145,1.31,6201.0,110062.8100741715,0.07225721214042125,3.1328056348294086e+17,0.8740458015267175,0.029562100917914953,-1.1630432629404497,16.666666666666668,0.16739581493723074,0.509321019478304,0.1348091603053435,-1.7338679908122774
TOI-396 Ad,0.0223,0.18000000000000002,11.230511,0.1046,Primary Transit,HR 858 A,-0.14,1.145,1.31,6201.0,110205.68073783562,0.05852103997146566,1.3513988851865808e+17,0.8740458015267175,0.016027765789107903,-0.9804683154687446,10.946462715105163,0.08904314327282169,0.509321019478304,0.13740458015267173,-1.7147984280919266
TOI-3976 Ab,0.175,1.095,6.607662,0.0743,Primary Transit,TOI-3976 A,0.182,1.254,1.501,5975.0,106445.96360243217,0.07065141472482146,2.30873459673077e+17,0.8354430379746836,0.1657167088752421,-1.1290111862394248,16.877523553162852,0.15133946016003844,0.3708134341594539,0.7295136575616257,0.09075436326846412
TOI-3980 b,0.59,1.29,3.6089254,0.0494,Primary Transit,TOI-3980,0.188,1.24,1.626,5840.0,108037.608697253,0.08600603220412135,4.766476877837696e+17,0.7626076260762608,0.3574471226254774,-1.3062730510763532,25.101214574898787,0.2770907927329282,0.28844303820461353,0.7933579335793358,0.25464221837358075
TOI-3984 Ab,0.138,0.71,4.353326,0.041,Primary Transit,TOI-3984 A,0.18,0.48999999999999994,0.47,3476.0,274973.480684784,0.059175581519592846,8.684630743353717e+16,1.0425531914893618,0.16309368974434718,-1.3872161432802645,11.951219512195122,0.2297094221751369,4.719570808009786,1.5106382978723405,-0.342490308946776
TOI-4010 b,0.035,0.2694,1.348335,0.0229,Primary Transit,TOI-4010,0.315,0.88,0.83,5104.0,151387.20438706374,0.10671305241977144,1.2941115048642399e+18,1.0602409638554218,0.19980197799508279,-1.640164517660112,38.427947598253276,0.7416554491279985,1.539034640521733,0.324578313253012,-1.3115580150058734
TOI-4010 c,0.0639,0.529,5.414654,0.058,Primary Transit,TOI-4010,0.315,0.88,0.83,5104.0,150264.86294905486,0.06730342286255338,2.01737519104e+17,1.0602409638554218,0.09769783997278497,-1.2365720064370627,15.172413793103448,0.1846840075099905,1.539034640521733,0.6373493975903615,-0.6367668471238376
TOI-4010 d,0.12003,0.5513,14.70886,0.113,Primary Transit,TOI-4010,0.315,0.88,0.83,5104.0,149941.79244921845,0.04827022214578786,5.314785921104675e+16,1.0602409638554218,0.03748081088541192,-0.9469215565165803,7.787610619469026,0.06798623414730985,1.539034640521733,0.6642168674698795,-0.5954761533864992
TOI-4010 e,,0.35828000000000004,762.0,1.57,Radial Velocity,TOI-4010,0.315,0.88,0.83,5104.0,150041.3577326298,0.012945670514792586,275323548324822.9,1.0602409638554218,0.02426213298663954,0.19589965240923377,0.5605095541401274,0.0013123359580052493,1.539034640521733,0.2542857142857143,-1.0264404753751424
