Unnamed: 0,name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,log_radius,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_mass,mass_source
5247,Qatar-1 Ab,1.294,1.143,1.42002504,0.02332,0.0,1599.6,Primary Transit,Qatar-1 A,0.171,0.838,0.803,5013.0,0.1336563848126736,159003.38384509974,0.1031840124195471,1.161271389278119e+18,1.0435865504358657,0.8049153837456274,-1.6322714539130234,35.93481989708405,0.7042129341606539,1.6184429039232786,1.423412204234122,0.1119342763326815,Observed
5248,Qatar-2 b,2.494,1.254,1.33711647,0.02153,0.0,1344.0,Primary Transit,Qatar-2,0.0199999999999999,0.74,0.78,4645.0,0.2263384422107289,179145.6994868447,0.1011706778718958,1.004279999457707e+18,0.9487179487179488,0.9378390201116884,-1.6669559701765129,34.37064561077566,0.7478780064686511,1.5593654646909083,1.6076923076923075,0.3968964491425238,Observed
5249,Qatar-3 Ab,4.31,1.096,2.5079204,0.03783,0.186,1681.0,Primary Transit,Qatar-3 A,-0.069,1.19,1.727,6207.39,0.0916671885258238,116176.5491712406,0.0947768917109983,1.0374410930059868e+18,0.689056166763173,0.437015465084139,-1.422163658707256,31.45651599259846,0.3987367382154553,0.231030835496712,0.6346265199768385,0.6344772701607315,Observed
5250,Qatar-4 b,5.85,1.552,1.8053656,0.02861,0.0139999999999999,1570.0,Primary Transit,Qatar-4,0.103,0.896,0.849,5215.0,0.439544421761027,139179.97451110103,0.0995709299204593,9.036110547779676e+17,1.055359246171967,0.8596596722569656,-1.5434821421947371,31.31772107654666,0.5539044280006221,1.4641478662931475,1.828032979976443,0.7671558660821804,Observed
5251,Qatar-5 b,4.32,1.107,2.8792319,0.04127,0.0065999999999999,1415.0,Primary Transit,Qatar-5,0.377,1.128,1.076,5747.0,0.1016536537264998,117936.94780820968,0.0900611922323108,6.404656625745853e+17,1.0483271375464682,0.3844775406940997,-1.384365531122584,27.332202568451656,0.3473148515755191,0.9054662884240716,1.028810408921933,0.6354837468149122,Observed
5252,Qatar-6 Ab,0.668,1.062,3.506189,0.0423,0.0,1006.0,Primary Transit,Qatar-6 A,-0.025,0.822,0.722,5052.0,0.0601539228197471,162423.75393006566,0.0758027415218336,3.640597217173382e+17,1.1385041551246535,0.3028929701165567,-1.3736596326249575,19.43262411347518,0.2852099530287728,2.184038173288752,1.4709141274238229,-0.1752235375244543,Observed
5253,Qatar-7 b,1.88,1.7,2.032046,0.0352,0.0,2053.0,Primary Transit,Qatar-7,0.276,1.409,1.564,6387.0,0.5306282510621704,94675.82091863271,0.1088401162241019,1.3430814091759434e+18,0.9008951406649616,0.836595234556698,-1.453457336521869,40.028409090909086,0.4921148438568812,0.3682991757743611,1.0869565217391304,0.2741578492636798,Observed
5254,Qatar-8 b,0.371,1.285,3.71495,0.0474,0.0,1457.0,Primary Transit,Qatar-8,0.025,1.029,1.315,5687.0,0.250758718347183,129589.83019467397,0.0801687730818214,4.6556061118987386e+17,0.782509505703422,0.3458996756349345,-1.324221658325915,21.70886075949367,0.2691826269532564,0.4525203520093812,0.9771863117870724,-0.4306260903849541,Observed
5255,Qatar-9 b,1.19,1.009,1.540731,0.0234,0.0,1134.0,Primary Transit,Qatar-9,0.2499999999999999,0.719,0.696,4309.0,0.0089597413714718,185270.41288696145,0.0954264801500082,6.296138335257524e+17,1.0330459770114944,0.65488394794419,-1.630784142589857,30.726495726495724,0.6490425648604461,2.1325595707232923,1.4497126436781609,0.0755469613925307,Observed
5262,Ross 176 b,0.01438,0.1642,5.0066338,0.0464,0.25,682.0,Primary Transit,Ross 176,-0.19,0.58,0.57,4061.0,-1.806670081963809,250921.4059515181,0.0582307014851241,1.2632694594504358e+17,1.0175438596491229,0.0327964869329967,-1.3334820194451191,12.5,0.1997349995919413,3.1318678351773563,0.2880701754385965,-1.8422411139531365,Observed
